[ 00:16:23.196 -->  00:16:24.040] BD SPEAKER_00
[ 00:16:26.925 -->  00:16:37.439] FS SPEAKER_02
[ 00:16:38.063 -->  00:16:38.400] IG SPEAKER_05
[ 00:16:46.821 -->  00:16:47.462] BE SPEAKER_00
[ 00:16:47.462 -->  00:16:47.580] HC SPEAKER_04
[ 00:16:48.374 -->  00:17:06.092] HD SPEAKER_04
[ 00:17:08.354 -->  00:17:15.424] HE SPEAKER_04
[ 00:17:15.424 -->  00:17:15.492] BF SPEAKER_00
[ 00:17:17.635 -->  00:17:31.979] BG SPEAKER_00
[ 00:17:30.359 -->  00:17:30.375] HF SPEAKER_04
[ 00:17:30.375 -->  00:17:31.304] IH SPEAKER_05
[ 00:17:31.304 -->  00:17:32.485] HG SPEAKER_04
[ 00:17:33.852 -->  00:17:38.492] HH SPEAKER_04
[ 00:17:38.492 -->  00:17:38.577] BH SPEAKER_00
[ 00:17:40.214 -->  00:17:42.728] BI SPEAKER_00
[ 00:17:44.517 -->  00:17:46.542] BJ SPEAKER_00
[ 00:17:46.154 -->  00:17:51.469] GC SPEAKER_03
[ 00:17:50.845 -->  00:17:53.224] KJ SPEAKER_07
[ 00:17:51.520 -->  00:17:51.570] HI SPEAKER_04
[ 00:17:52.515 -->  00:17:52.566] HJ SPEAKER_04
[ 00:17:53.207 -->  00:18:12.951] HK SPEAKER_04
[ 00:18:12.951 -->  00:18:23.684] BK SPEAKER_00
[ 00:18:22.300 -->  00:18:49.739] HL SPEAKER_04
[ 00:18:23.684 -->  00:18:24.629] EO SPEAKER_01
[ 00:18:52.219 -->  00:18:56.168] HM SPEAKER_04
[ 00:18:56.910 -->  00:18:56.944] HN SPEAKER_04
[ 00:18:56.944 -->  00:18:57.282] EP SPEAKER_01
[ 00:18:57.855 -->  00:19:02.648] FT SPEAKER_02
[ 00:19:03.188 -->  00:19:03.677] KK SPEAKER_07
[ 00:19:08.250 -->  00:19:15.254] BL SPEAKER_00
[ 00:19:17.329 -->  00:19:19.776] HO SPEAKER_04
[ 00:19:21.919 -->  00:19:30.070] BM SPEAKER_00
[ 00:19:31.217 -->  00:19:31.690] BN SPEAKER_00
[ 00:19:35.537 -->  00:19:36.060] BO SPEAKER_00
[ 00:19:36.803 -->  00:19:41.612] GD SPEAKER_03
[ 00:19:43.334 -->  00:19:52.412] GE SPEAKER_03
[ 00:19:51.045 -->  00:19:51.501] EQ SPEAKER_01
[ 00:19:51.501 -->  00:19:59.635] BP SPEAKER_00
[ 00:20:00.867 -->  00:20:01.997] BQ SPEAKER_00
[ 00:20:02.639 -->  00:20:06.081] BR SPEAKER_00
[ 00:20:07.009 -->  00:20:12.055] BS SPEAKER_00
[ 00:20:13.540 -->  00:20:13.995] BT SPEAKER_00
[ 00:20:21.505 -->  00:20:22.534] BU SPEAKER_00
[ 00:20:23.834 -->  00:20:39.494] BV SPEAKER_00
[ 00:20:40.135 -->  00:20:40.506] BW SPEAKER_00
[ 00:20:40.506 -->  00:20:43.493] KL SPEAKER_07
[ 00:20:43.982 -->  00:20:44.539] HP SPEAKER_04
[ 00:20:45.771 -->  00:20:58.022] JR SPEAKER_06
[ 00:20:58.950 -->  00:21:00.419] JS SPEAKER_06
[ 00:21:01.110 -->  00:21:01.313] JT SPEAKER_06
[ 00:21:02.477 -->  00:21:02.950] JU SPEAKER_06
[ 00:21:06.240 -->  00:21:11.624] BX SPEAKER_00
[ 00:21:17.952 -->  00:21:18.306] BY SPEAKER_00
[ 00:21:19.538 -->  00:21:20.804] BZ SPEAKER_00
[ 00:21:22.575 -->  00:21:28.364] KM SPEAKER_07
[ 00:21:29.967 -->  00:21:33.882] CA SPEAKER_00
[ 00:21:34.557 -->  00:21:35.822] CB SPEAKER_00
[ 00:21:37.122 -->  00:21:41.290] CC SPEAKER_00
[ 00:21:42.049 -->  00:21:49.997] CD SPEAKER_00
[ 00:21:51.719 -->  00:22:17.234] CE SPEAKER_00
[ 00:22:15.360 -->  00:22:15.411] KN SPEAKER_07
[ 00:22:16.407 -->  00:22:31.999] KO SPEAKER_07
[ 00:22:31.999 -->  00:22:57.042] CF SPEAKER_00
[ 00:22:59.691 -->  00:23:00.704] CG SPEAKER_00
[ 00:23:03.032 -->  00:23:35.027] GF SPEAKER_03
[ 00:23:35.685 -->  00:23:44.832] GG SPEAKER_03
[ 00:23:36.630 -->  00:23:36.985] ER SPEAKER_01
[ 00:23:45.203 -->  00:23:45.439] ES SPEAKER_01
[ 00:23:46.047 -->  00:24:06.044] GH SPEAKER_03
[ 00:24:06.769 -->  00:24:08.997] GI SPEAKER_03
[ 00:24:09.317 -->  00:24:24.454] II SPEAKER_05
[ 00:24:24.859 -->  00:24:28.724] KP SPEAKER_07
[ 00:24:25.365 -->  00:24:25.635] IJ SPEAKER_05
[ 00:24:25.838 -->  00:24:25.872] ET SPEAKER_01
[ 00:24:26.850 -->  00:24:49.665] GJ SPEAKER_03
[ 00:24:36.115 -->  00:24:36.959] EU SPEAKER_01
[ 00:24:49.665 -->  00:25:05.562] IK SPEAKER_05
[ 00:25:00.854 -->  00:25:01.242] EV SPEAKER_01
[ 00:25:06.203 -->  00:25:06.996] IL SPEAKER_05
[ 00:25:07.502 -->  00:25:10.658] KQ SPEAKER_07
[ 00:25:10.962 -->  00:25:12.784] IM SPEAKER_05
[ 00:25:12.025 -->  00:25:21.019] GK SPEAKER_03
[ 00:25:21.019 -->  00:25:26.875] IN SPEAKER_05
[ 00:25:25.997 -->  00:25:33.372] GL SPEAKER_03
[ 00:25:33.000 -->  00:25:33.186] EW SPEAKER_01
[ 00:25:33.186 -->  00:25:38.029] IO SPEAKER_05
[ 00:25:38.856 -->  00:25:40.442] IP SPEAKER_05
[ 00:25:39.008 -->  00:25:39.683] GM SPEAKER_03
[ 00:25:40.442 -->  00:25:41.438] GN SPEAKER_03
[ 00:25:41.438 -->  00:25:42.670] HQ SPEAKER_04
[ 00:25:42.147 -->  00:25:43.952] KR SPEAKER_07
[ 00:25:43.952 -->  00:25:50.888] HR SPEAKER_04
[ 00:25:50.888 -->  00:25:54.449] IQ SPEAKER_05
[ 00:25:53.622 -->  00:25:58.532] CH SPEAKER_00
[ 00:25:59.528 -->  00:26:04.304] CI SPEAKER_00
[ 00:26:05.907 -->  00:26:10.446] KS SPEAKER_07
