[ 00:00:01.645 -->  00:00:02.252] A SPEAKER_00
[ 00:00:03.805 -->  00:00:23.447] B SPEAKER_00
[ 00:00:04.125 -->  00:00:04.902] Y SPEAKER_01
[ 00:00:12.192 -->  00:00:13.457] Z SPEAKER_01
[ 00:00:21.186 -->  00:00:21.507] AA SPEAKER_01
[ 00:00:22.924 -->  00:00:57.754] AB SPEAKER_01
[ 00:00:58.868 -->  00:01:39.452] CD SPEAKER_02
[ 00:01:39.452 -->  00:01:45.949] AC SPEAKER_01
[ 00:01:45.899 -->  00:02:21.944] C SPEAKER_00
[ 00:01:54.201 -->  00:01:55.889] AD SPEAKER_01
[ 00:02:02.723 -->  00:02:03.449] AE SPEAKER_01
[ 00:02:08.494 -->  00:02:08.579] AF SPEAKER_01
[ 00:02:16.577 -->  00:02:18.720] AG SPEAKER_01
[ 00:02:21.944 -->  00:02:31.984] AH SPEAKER_01
[ 00:02:33.992 -->  00:02:34.549] AI SPEAKER_01
[ 00:02:35.460 -->  00:02:50.277] AJ SPEAKER_01
[ 00:02:39.679 -->  00:02:43.004] CE SPEAKER_02
[ 00:02:51.593 -->  00:03:06.460] AK SPEAKER_01
[ 00:03:04.722 -->  00:03:14.189] CF SPEAKER_02
[ 00:03:11.995 -->  00:03:28.448] AL SPEAKER_01
[ 00:03:27.385 -->  00:03:37.290] CG SPEAKER_02
[ 00:03:29.849 -->  00:03:30.304] AM SPEAKER_01
[ 00:03:38.725 -->  00:03:38.759] CH SPEAKER_02
[ 00:03:38.759 -->  00:03:40.446] AN SPEAKER_01
[ 00:03:40.446 -->  00:03:43.500] CI SPEAKER_02
[ 00:03:44.378 -->  00:03:45.002] CJ SPEAKER_02
[ 00:03:45.002 -->  00:04:09.859] AO SPEAKER_01
[ 00:04:10.703 -->  00:04:11.445] AP SPEAKER_01
[ 00:04:11.445 -->  00:04:12.593] CK SPEAKER_02
[ 00:04:14.415 -->  00:04:14.989] AQ SPEAKER_01
[ 00:04:21.959 -->  00:04:43.947] D SPEAKER_00
[ 00:04:38.884 -->  00:04:39.222] AR SPEAKER_01
[ 00:04:43.947 -->  00:05:02.999] CL SPEAKER_02
[ 00:05:02.357 -->  00:05:05.952] AS SPEAKER_01
[ 00:05:05.952 -->  00:05:16.566] CM SPEAKER_02
[ 00:05:14.659 -->  00:05:30.404] AT SPEAKER_01
[ 00:05:31.062 -->  00:05:38.504] AU SPEAKER_01
[ 00:05:38.504 -->  00:06:56.955] E SPEAKER_00
[ 00:05:54.771 -->  00:05:55.159] AV SPEAKER_01
[ 00:06:09.587 -->  00:06:09.874] CN SPEAKER_02
[ 00:06:17.198 -->  00:06:19.071] AW SPEAKER_01
[ 00:06:23.425 -->  00:06:24.083] AX SPEAKER_01
[ 00:06:25.163 -->  00:06:25.484] AY SPEAKER_01
[ 00:06:34.005 -->  00:06:34.073] CO SPEAKER_02
[ 00:06:45.447 -->  00:06:46.172] AZ SPEAKER_01
[ 00:06:51.792 -->  00:06:53.007] BA SPEAKER_01
[ 00:06:53.007 -->  00:06:53.985] CP SPEAKER_02
[ 00:06:56.972 -->  00:07:00.989] CQ SPEAKER_02
[ 00:07:04.448 -->  00:07:15.990] BB SPEAKER_01
[ 00:07:11.670 -->  00:07:11.957] F SPEAKER_00
